競馬場,コース,条件名,成績,複勝率,単勝回収値,複勝回収値
京都,ダート1200m,ドレフォン産駒×前走2〜5着かつ着差0.9秒以内×前走から中8週以内,6-6-5-11,60.7,0,223
京都,ダート1400m,高杉吏麒騎手×前走ダート1400の牡馬・セン馬,4-8-6-10,64.3,162,260
京都,ダート1800m,前走阪神ダートでいずれかのコーナーを1番手通過,14-8-6-27,50.9,389,225
京都,ダート1900m,パイロ産駒の牡馬セン馬×前走西開催(中京・京都・阪神・小倉)のダート,1-5-3-2,81.8,0,223
京都,芝1600m(内回り),前走芝1600mで上がり2位以内の牡馬・セン馬×前走3〜18着,8-1-2-5,68.8,448,160
京都,芝2200m,川田将雅騎手×関西馬,6-5-3-2,87.5,168,190
中山,ダート1200m,マーカンド騎手×4歳以下の牡馬セン馬,4-2-7-8,61.9,245,245
中山,芝1200m,当日馬番1番×前走芝1200〜1400mの関西馬,4-2-3-7,56.3,0,267
中山,芝1600m,グレーターロンドン産駒の牡馬セン馬,2-3-3-1,88.9,517,354
中山,芝1600m,レイデオロ産駒×前走芝で上がり3位以内,4-4-2-1,90.9,361,203
中山,芝1800m,前走京都芝1800m×5歳以下,3-5-3-9,55.0,372,359
中山,芝2000m,前走小倉芝1800mで一桁人気かつ4着以内,2-3-3-2,80.0,0,226
中山,芝2500m,前走2400m以上のキズナ産駒×4歳以下,4-4-1-1,90.0,234,195
小倉,ダート1000m,前走馬体重500キロ以上の牝馬×前走右回り1400m以上のダート,3-3-0-3,66.7,218,582
小倉,ダート1000m,前走馬体重500キロ以上の牝馬×前走京都のダート,5-3-1-1,90.0,236,544
小倉,芝1200m,前走から距離短縮のタリスマニック産駒(芝・ダート不問),2-0-3-1,83.3,253,418
小倉,芝1800m,未勝利戦×北村友一騎手×3歳以下,3-2-5-3,76.9,0,242
小倉,芝1800m,前走馬体重460キロ以上のリアルスティール産駒×前走右回りの芝,4-2-2-0,100.0,422,221
小倉,芝2000m,スクリーンヒーロー産駒×前走3コーナー6番手以内,3-4-3-5,66.7,235,312
東京,ダート1300m,前走新潟ダート1200m×前走から中8週以内×今回のレースまでにキャリア9戦以内,3-5-4-28,30.0,400,479
東京,ダート1400m,安田翔伍厩舎×前走から騎手が乗り替わり,8-4-1-5,72.2,214,165
東京,ダート2100m,C.ルメール騎手×今回未勝利〜3勝クラス×前走から乗り替わり,9-5-2-4,80.0,0,140
東京,芝1400m,戸崎圭太騎手×前走から中3〜4週,6-7-6-7,73.1,287,211
東京,芝1600m,前走中京の芝1600m以上×前走馬体重450〜510キロ,7-5-8-30,40.0,265,206
東京,芝2000m,牡馬セン馬のキズナ産駒×前走一桁人気かつ一桁着順×当日良馬場,6-6-2-7,66.7,0,209
阪神,ダート1800m,キズナ産駒の3歳馬×前走馬体重480〜519キロ,8-9-6-1,95.8,234,172
阪神,芝1600m,岩田望来騎手×前走馬体重480キロ以上,7-7-4-8,69.2,0,251
阪神,芝2000m,岩田康誠騎手×関西馬×前走から継続騎乗,4-4-3-2,84.6,0,155
阪神,芝2000m,新馬戦を除く×上村洋行厩舎,8-8-1-4,81.0,262,154
中京,ダート1200m,坂井瑠星騎手×前走新馬戦以外で7着以内×前走から中5週以内,6-5-4-2,88.2,0,157
中京,ダート1400m,ドレフォン産駒の牡馬セン馬×今回の出走頭数が15頭立て以下,4-1-3-6,57.1,942,414
中京,ダート1900m,リアルスティール産駒の牡馬セン馬×前走から距離短縮,3-1-2-1,85.7,720,340
中京,芝1200m,前走同コースで上がり2位以内の牡馬セン馬,5-1-4-2,83.3,645,259
中京,芝1200m,前走芝1200mのロードカナロア産駒×関西馬×前走から中4〜8週,3-2-3-4,66.7,493,233
中京,芝1400m,今回初出走と半年以上の休み明けを除く×藤原英昭厩舎,8-2-2-10,54.5,450,218
中京,芝1600m,西村敦也騎手×2歳未勝利戦,4-3-2-1,90.0,346,0
福島,ダート1150m,大外馬番×前走3コーナー1番手通過,4-2-1-5,58.3,446,169
福島,ダート1150m,前走1800m以下を3コーナー1番手通過×5歳以下の関西馬,22-8-8-35,52.1,359,183
福島,ダート1150m,前走3コーナー1番手通過の関西馬×前走から斤量減,7-1-4-4,75.0,170,151
福島,ダート1700m,前走東京ダート1400mで上がり4位以降で2着以下の牡馬セン馬,5-5-8-31,36.7,781,196
福島,ダート1700m,エスケンデレヤ産駒×前走1600m以上,3-4-1-3,72.7,262,161
福島,ダート1700m,牝馬×前走京都ダート1800mで2〜9着,2-4-2-3,72.7,269,241
新潟,ダート1200m,柴田裕一郎騎手×前走左回り,6-3-2-4,73.3,592,203
新潟,芝1000m,1勝クラス以上×菊沢一樹騎手×前走馬体重440キロ以上×当日1枠以外×前走1200m以上,5-7-2-11,56.0,288,227
新潟,芝1400m,戸崎圭太騎手×前走から距離短縮,4-1-0-1,0,256,146
新潟,芝1600m,前走同コースの2〜4歳馬,7-4-8-36,34.5,0,342
新潟,芝2400m,前走2500m以上の芝レースで一桁人気かつ上がり3位以内×5歳以下,5-3-2-4,71.4,395,182
新潟,芝2400m,前走2500m以上の芝レース×前走から中9週以上,2-1-4-2,77.8,0,273
函館,芝1200m,前走3コーナー5番手以内のスワーヴリチャード産駒(芝ダート不問),4-1-3-1,88.9,246,282
函館,芝2000m,北村友一騎手×前走2000m以下(芝ダート不問),3-4-1-8,50.0,364,233
函館,芝2600m,前走2400m以下のレースを上がり3位以内で1着(芝ダート不問),4-5-4-5,72.2,0,256
函館,芝2600m,前走2200m以下のレースを上がり1位(芝ダート不問),6-2-4-4,75.0,0,248
札幌,ダート1700m,武豊騎手×前走から中2週以上の牡馬セン馬×前走違う騎手が騎乗(芝ダート不問),8-4-2-4,77.8,573,240
札幌,ダート1700m,4歳以下のホッコータルマエ産駒×関東馬,5-5-2-6,66.7,835,276
札幌,芝2600m,前走函館芝で上がり1位,3-2-6-6,64.7,0,228
札幌,芝2600m,前走札幌以外の芝で上がり1位×前走から中7週以上,5-3-7-8,65.2,0,200
